date,basicStats.max,basicStats.mean,basicStats.min,basicStats.stDev,clouds
2018-06-30,0.20366184413433075,0.14084467127110506,0.11169961094856262,0.018787114147621138,1.0
2018-06-25,0.061092279851436615,0.05253971599579336,0.04539540410041809,0.0033850495450248705,1.0
2018-06-20,0.78425532579422,0.6880244093274307,0.3630630671977997,0.12181956512793322,0.0
2018-06-15,0.3631383776664734,0.2534549082679097,0.17239505052566528,0.053041152953418845,0.45751779359430583
2018-06-10,0.7745766043663025,0.6937280511118976,0.49310803413391113,0.04900778674409126,0.0
2018-06-05,0.17253921926021576,0.149634652963286,0.12141945958137512,0.011085169574250774,0.6754893238434166
2018-05-31,0.6848388314247131,0.4506833284456959,0.3624604642391205,0.10448616232351852,0.0
2018-05-26,0.6417560577392578,0.3474714100539842,0.21765416860580444,0.121639418250469,0.20395907473309613
2018-05-21,0.09153500199317932,0.0493206464879387,0.017974933609366417,0.01529943323050219,1.0
2018-05-16,0.6416938304901123,0.36336341410464357,0.24132277071475983,0.1480870187551068,0.0
2018-05-11,0.02376032993197441,0.016458111664974653,0.009250842034816742,0.003562526794152338,1.0
2018-05-06,0.7693251371383667,0.3301406275394814,0.18917378783226013,0.1945420301039031,0.0
2018-05-01,0.47113800048828125,0.29315106155105547,0.2383282333612442,0.07184156287403184,0.23910142348754448
2018-04-26,0.12599079310894012,0.05316597418567527,0.0011761246714740992,0.022060380581898034,1.0
2018-04-21,0.8403629660606384,0.35893279449265203,0.22245226800441742,0.15753606533159634,0.0
2018-04-16,0.03909492492675781,0.019705050887281673,-0.004919376689940691,0.01099375499954858,1.0
2018-04-11,0.6940167546272278,0.323586929768483,0.23274917900562286,0.11830577185266809,0.0
2018-04-06,0.8039059638977051,0.36441466520835375,0.1905362755060196,0.20417751929520297,0.0
2018-04-01,0.3377326428890228,0.1834267100975501,0.1361219435930252,0.04912953929188363,0.10787366548042704
2018-03-27,0.3558681607246399,0.21822660423656165,0.17833763360977173,0.049705880050196515,0.0
2018-03-22,0.6106524467468262,0.24458817925860982,0.16406479477882385,0.12277095162081063,0.0
2018-03-17,0.02990536205470562,0.01127085362399888,-0.009730679914355278,0.010736766800702336,1.0
2018-03-12,0.052638906985521317,0.02133601582939513,-0.027633102610707283,0.01735388842499945,1.0
2018-03-07,-0.01700042374432087,-0.045051879489386736,-0.05424487590789795,0.00432802469051475,1.0
2018-03-02,0.026917826384305954,0.02230511148405523,0.0174958985298872,0.002125843695916097,1.0
2018-02-25,0.017676610499620438,0.005199589214252717,-0.0009044657927006483,0.0034024853011276075,1.0
2018-02-20,0.04651361331343651,0.029067440252598654,0.007786814123392105,0.00789537313952621,1.0
2018-02-15,0.010158524848520756,-0.00048351365950075775,-0.009001636877655983,0.0032278487894731854,1.0
2018-02-10,-0.021744072437286377,-0.0633107094049414,-0.09140942990779877,0.01474891581241085,1.0
2018-02-05,0.022308578714728355,4.745311567843032e-05,-0.025692898780107498,0.005640440795733867,1.0
2018-01-31,0.0273139551281929,0.021306310520586937,0.01399108674377203,0.002595250728007981,1.0
2018-01-26,0.022938018664717674,0.01457626066830181,0.010036242194473743,0.002270753145342644,1.0
2018-01-21,0.6770833134651184,0.2761939423775227,0.14827828109264374,0.1723241250463989,0.0
2018-01-16,0.07411400228738785,0.02866206016317253,0.0014692506520077586,0.01650295055005383,1.0
2018-01-11,0.0528123676776886,0.004727448025519265,-0.03201911598443985,0.019321474436043762,0.09297153024911033
2018-01-06,0.05694980546832085,0.03631695046908225,0.02096075937151909,0.007951514471257732,1.0
2018-01-01,0.03272160515189171,0.010164940253629752,-0.0140087204053998,0.010773788279606586,1.0
2017-12-27,0.05004461109638214,0.02145343416424723,-0.005326558835804462,0.013386420194076334,1.0
2017-12-22,0.48136141896247864,0.1959774148289207,0.10084033757448196,0.11787059280970932,0.0
2017-12-17,0.06942392885684967,0.05267048166862612,0.031589340418577194,0.0070049360481018765,0.0
2017-12-12,0.026380671188235283,0.018901262616592016,0.0065704635344445705,0.004185999766569475,1.0
2017-12-07,0.08539709448814392,0.01586689935165236,-0.002035218058153987,0.006105584850798906,1.0
2017-12-02,0.03313274681568146,0.02005546885849974,0.010385114699602127,0.004264163133365766,1.0
2017-11-27,0.15202972292900085,0.08107124795239033,0.010218393057584763,0.02503797059055624,0.0936387900355872
2017-11-22,0.19025157392024994,0.12150856325389596,0.08288316428661346,0.018023710896060138,0.3525355871886122
2017-11-17,0.04117901995778084,0.02679558010528268,0.01595025695860386,0.005502786815831624,0.0
2017-11-12,0.012371676973998547,-0.009713002495506816,-0.0280348751693964,0.008621127494212816,1.0
2017-11-07,0.03652263432741165,0.017677722925942514,-0.0016139878425747156,0.008887551487528301,1.0
2017-11-02,0.10304601490497589,0.08040829924236838,0.06791507452726364,0.008459867108886066,0.0
2017-10-28,0.3442959785461426,0.14359536572289897,0.09609352797269821,0.062436897805637055,0.0
2017-10-23,0.049735087901353836,0.03225890469192146,0.01883547008037567,0.007219081598585322,1.0
2017-10-18,0.8040089011192322,0.25880446723161854,0.1225837990641594,0.2145305097836313,0.0
2017-10-13,0.4717182517051697,0.22970866958454947,0.16921377182006836,0.08628320567413911,0.15947508896797152
2017-10-08,0.7102361917495728,0.2749456200065933,0.14393557608127594,0.18662669325985282,0.0
2017-10-03,-0.003116167848929763,-0.007638375392805924,-0.014727326110005379,0.002506046355173811,1.0
2017-09-28,0.5708438754081726,0.5185361801782538,0.47974684834480286,0.020930304544249052,0.0
2017-09-23,0.8037126064300537,0.7187900094587183,0.5932120084762573,0.033036669210546696,0.0
